subject;predicate;object
Old Pine Church;located in;Lewisburg, West Virginia
Old Pine Church;is a;historic Presbyterian church
Capon Chapel;located near;Capon Bridge
Capon Chapel;located in;Hampshire County
Capon Chapel;built in;mid-19th-century
Capon Chapel;featured in;October 2 Wikipedia article
Capon Chapel;has surface;869 feet
Capon Chapel;has latitude;39.2698239
Capon Chapel;has longitude;-78.4444521
Capon Chapel;associated with;Capon Chapel United Methodist Church
Capon Chapel;associated with;Capone Chapel Cemetery
Capon Chapel;associated with;Capon Bridge United Methodist Charge
Capon Chapel;associated with;Amazing Grace Baptist church
Capon Chapel;associated with;Pastor Alannah Mc Guinn
Capon Chapel;associated with;Pastor Chris Leatherman
Capon Chapel;has phone number;(304) 856-2483
Capon Chapel;has address;1999 Fried Meat Ridge Road, Keyser, WV 26726
Capon Chapel;part of;National Register of Historic Places
Capon Chapel;denomination;Baptist, Methodist, Christian and Missionary Alliance, Foursquare, Assemblies of God
Capon Chapel;has ZIP Code;WV 26711
Capon Chapel;is located in;West Virginia
Capon Chapel;is experiencing;fair weather
Capon Chapel;has temperature;63°F
Capon Chapel;sits at elevation;869 feet
Capon Chapel;is known as;Capon Baptist Chapel
Capon Chapel;is known as;Capon Chapel Church
Capon Chapel;is classified as;a place of worship
Capon Chapel;has coordinates;Latitude: 39.2698239
Capon Chapel;has coordinates;Longitude: -78.4444521
Capon Chapel;is situated in;Hampshire County
Capon Chapel United Methodist Church;located in;Capon Bridge, West Virginia
Capon Chapel United Methodist Church;contact number;304-856-2483
Built in Virginia in 1852;includes;Chain Bridge
Built in Virginia in 1852;includes;houses built in Virginia in 1852
Built in Virginia in 1852;includes;Capon Chapel
Capon Chapel;located in;Virginia
Capon Chapel;category;place of worship
Capon Chapel;category;church
Capon Chapel;category;Capone Chapel Cemetery
Capon Chapel;category;Capon Bridge United Methodist Charge
Capon Chapel;category;Amazing Grace Baptist church
Capon Chapel;category;Heather Rogers
Capon Chapel;category;Certified Lay Minister
Capon Chapel;category;Louise Link
Capon Chapel;category;Jane Arnold
Capon Chapel;category;Pastor Alannah Mc Guinn
Capon Chapel;category;John Wesley
Capon Chapel;category;Levels, WV
Capon Chapel;category;Pastor Chris Leatherman
Capon Chapel;category;Sunday School
Capon Chapel;category;Worship Service
Capon Chapel;category;West Virginia Archives and History Commission
Capon Chapel;category;Archives and History
Capon Chapel;category;Historic Preservation
Capon Chapel;category;National Register
Capon Chapel;category;grants
Capon Chapel;category;markers
Capon Chapel;category;by-laws
Capon Chapel;category;Baptists
Capon Chapel;category;Methodist church
Capon Chapel;category;United Methodist Church
Capon Chapel;category;Civil War veterans
Capon Chapel;category;African Americans
Capon Chapel;category;Hampshire County
Capon Chapel;category;denomination
Capon Chapel;category;rural religious architecture
Capon Chapel;category;pews
Capon Chapel;category;cemetery
Capon Chapel;category;gravestones
Capon Chapel;category;community events
Capon Chapel;category;burials
Capon Chapel;category;historical significance
Capon Chapel;category;ZIP Code
William C. Nixon;born in;1789
William C. Nixon;served in;War of 1812
William C. Nixon;married;Mary Ann Caudy
William C. Nixon;had children;Lemuel Nixon
Mary Ann Caudy;is married to;William C. Nixon
Lemuel Nixon;is child of;William C. Nixon
William C. Nixon;died in;1869
William C. Nixon;buried in;Capone Chapel Cemetery
Capone Chapel Cemetery;is located in;Capon Chapel
Capone Chapel Cemetery;is located in;Capon Bridge
Capone Chapel Cemetery;is associated with;William C. Nixon
Capone Chapel Cemetery;is associated with;Mary Ann Caudy
Capone Chapel Cemetery;is associated with;Lemuel Nixon
Capone Chapel Cemetery;is associated with;Chapon Chapel
Capone Chapel Cemetery;is associated with;War of 1812
Capone Chapel Cemetery;is associated with;Virginia House of Delegates
Capone Chapel Cemetery;is associated with;Hampshire County
Capone Chapel Cemetery;is associated with;1869
Capone Chapel Cemetery;is associated with;Capone Chapel
Capone Chapel Cemetery;is associated with;Capone Bridge
Capone Chapel Cemetery;is associated with;United Methodist Church
Capone Chapel Cemetery;is associated with;Baptist
Capone Chapel Cemetery;is associated with;Methodist
Capone Chapel Cemetery;is associated with;Christian and Missionary Alliance
Capone Chapel Cemetery;is associated with;Foursquare
Capone Chapel Cemetery;is associated with;Assemblies of God
Capone Chapel Cemetery;is associated with;Brethren denomination
Capone Chapel Cemetery;is associated with;National Register of Historic Places
Capone Chapel Cemetery;is associated with;Civil War veterans
Capone Chapel Cemetery;is associated with;African Americans
Capone Chapel Cemetery;is associated with;rural religious architecture
Capone Chapel Cemetery;is associated with;community events
Capone Chapel Cemetery;is associated with;historical significance
Capone Chapel Cemetery;is associated with;gravestones
Capone Chapel Cemetery;is associated with;cemetery
Capone Chapel Cemetery;is associated with;pews
Capone Chapel Cemetery;is associated with;1857
Capone Chapel Cemetery;is associated with;1834
Capone Chapel Cemetery;is associated with;ZIP Code
Capone Chapel Cemetery;is associated with;WV 26711
Capone Chapel Cemetery;is associated with;business name
Capon Bridge United Methodist Charge;provides information;upcoming events
Capon Bridge United Methodist Charge;provides information;food pantry
Capon Bridge United Methodist Charge;provides information;clothing closet
Heather Rogers;is;Certified Lay Minister
Louise Link;was honored for;50 years of service
Jane Arnold;participated in;mission team in Kenya
Pastor Alannah Mc Guinn;contact information is provided;304-856-2483
Pastor Alannah Mc Guinn;contact information is provided;Capon Bridge
John Wesley;quote by;John Wesley
cookbooks;available for;gift ideas
Capon Chapel;has Pastor;Chris Leatherman
Capon Chapel;has contact number;304.492.5838
Capon Chapel;has mailing address;1999 Fried Meat Ridge Road, Keyser, WV 26726
Chris Leatherman;is member of;Capon Chapel
Chris Leatherman;leads;Sunday School
Chris Leatherman;leads;Worship Service
West Virginia Archives and History Commission;held;spring meeting
spring meeting;covered;topics
spring meeting;included;approval of meeting minutes
spring meeting;included;reports
