entity;surface
British Empire;British Empire, empire
16th century;late 16th century
India;India
East Indies;East Indies
Newfoundland;Newfoundland
Hudson Bay;Hudson Bay
Caribbean;Caribbean
North America;North America
European settlers;European settlers
African slave trade;African slave trade
Navigation Acts;Navigation Acts
imperial self-sufficiency;imperial self-sufficiency
British wealth;British wealth
17th century;late 17th
18th centuries;early 18th centuries
Spanish;Spanish
Dutch;Dutch
France;France
Canada;Canada
Africa;Africa
British East India Company;British East India Company
French;French
Treaty of Paris;Treaty of Paris
1763;1763
American colonies;American colonies
American Revolution;American Revolution
