entity;surface
British Empire;British Empire, the Empire
history;history
colonies;colonies
trade;trade
financial gain;financial gain
14 million square miles;14 million square miles
450 million people;450 million people
Queen Victoria;Queen Victoria
peak;peak
decline;decline
early 20th century;early 20th century
loss of military supremacy;loss of military supremacy
financial strain;financial strain
World War II;World War II
legacy;legacy
contributions;contributions
democracy;democracy
self-government;self-government
accusations;accusations
exploitation;exploitation
countries;countries
control;control
boundaries;boundaries
Union Flag;Union Flag, Union Jack
