entity;surface
Manhattan Project;The Manhattan Project
U.S. government research project;U.S. government research project
1942 to 1945;1942 to 1945
atomic bombs;atomic bombs
American scientists;American scientists
Europe;Europe
fission process;fission process
military use;military use
research;research
development;development
production;production
fissionable materials;fissionable materials
uranium-235;uranium-235
plutonium-239;plutonium-239
nuclear explosion;nuclear explosion
July 1945;July 1945
New Mexico;New Mexico
atomic bombs;atomic bombs
Hiroshima;Hiroshima
Nagasaki;Nagasaki
Japan;Japan
