subject;predicate;object
Brougham Castle;located in;Penrith
Brougham Castle;has roots dating back to;a Roman fort
Brougham Castle;founded by;Norman family of Robert de Vieuxpont
Brougham Castle;saw enhancements by;Robert Clifford
Robert Clifford;enhanced;Brougham Castle
Brougham Castle;passed through generations until;Lady Anne Clifford
Lady Anne Clifford;restored;Brougham Castle
Brougham Castle;restored to;former glory
Brougham Castle;remains;a significant landmark
Brougham Castle;inspires;art and literature
Brougham Castle;maintained by;English Heritage
Brougham Castle;offers visitors;a glimpse into its rich history
Brougham Castle;offers visitors;exhibitions and guided tours
