subject;predicate;object
California;incorporation as;31st state
California;attracted;fortune-seekers
California;transformed into;ethnically diverse state
Gold Rush;began with;discovery of gold by James W. Marshall
Gold Rush;led to;massive influx of immigrants
'49ers;were known as;immigrants
California;grew rapidly
Gold Rush;attracted;fortune-seekers from around the world
fortune-seekers;included;China, Germany, Chile, Mexico
influx of foreign laborers;led to;ethnic tensions
ethnic tensions;led to;enactment of Foreign Miners Tax
Gold Rush;transformed;California into one of the most ethnically diverse states
