entity;surface
Brazil;Brazil, Brazilian
Portuguese;Portuguese
independence;independence
scholarly work;scholarly work
history;history
challenges;challenges
process;process
international recognition;international recognition
author;author
economic factors;economic
social factors;social
political factors;political
slavery;slavery
European powers;European powers
internal dynamics;internal dynamics
country;country
debates;debates
abolition of slavery;abolition of slavery
economic structures;economic structures
development;development
post-independence;post-independence
nuanced view;nuanced view
journey;journey
nationhood;nationhood
forces;forces
critical period;critical period
