subject;predicate;object
Pendle Witch Trials;took place in;England
Pendle Witch Trials;were part of;Lancashire Witch Trials
accused;were from;Pendle Hill area
accused;were involved in;witchcraft
trials;resulted in;execution of ten individuals
trials;were notable for;involvement of a young witness
trials;saw more individuals accused in;1633-1634
Margaret Johnson;was accused in;1633-1634
Margaret Johnson;confessed but was later found;innocent
trials;inspired;a play
Pendle Hill;remains associated with;witchcraft
Pendle Hill;attracts;tourists
