subject;predicate;object
Pendle witches;accused of;witchcraft
Pendle witches;accused of;murder by witchcraft
Pendle witches;were;group of twelve people
Pendle witches;were;accused of witchcraft
Pendle witches;were;17th century
one;was found;not guilty
trials;were;well-documented
trials;became;legend
background;involved;rival families
background;involved;society fascinated by witchcraft
King James I;influenced;fear and prosecution of witches
trials in Lancashire;reflected;time of unrest and unease
trials in Lancashire;led to;sentence of Pendle witches
accusations;stemmed from;feud between families
accusations;escalated due to;general fear of witchcraft
trials;resulted in;convictions
trials;resulted in;executions
trials;were;notorious witch trials of the time
