subject;predicate;object
Long Expedition;aimed to conquer;Texas
Long Expedition;declared;Texas an independent Republic
Long Expedition;driven back by;Spanish troops
James Long;was captured by;Spanish troops
James Long;was killed by;Spanish troops
Mexican control;led to;Texas
Battle of Velasco;followed;Long Expedition
Convention of 1832;followed;Battle of Velasco
Battle of the Alamo;followed;Convention of 1832
Texians;won independence at;Battle of San Jacinto
Battle of San Jacinto;led to;Republic of Texas
Battle of San Jacinto;resulted in;birth of the Republic of Texas
Battle of San Jacinto;occurred in;April 1836
Battle of San Jacinto;despite;treaty violations by both sides
