subject;predicate;object
Manhattan Project;developed;first atomic bombs
American scientists;organized;Manhattan Project
refugees from Europe;participated in;Manhattan Project
Manhattan Project;exploited;fission for military purposes
Manhattan Project;involved;various research methods
Manhattan Project;produced;uranium-235
Manhattan Project;produced;plutonium-239
Manhattan Project;included;designing and testing the atomic bombs
first bomb;detonated in;New Mexico
atomic bombs;dropped on;Hiroshima
atomic bombs;dropped on;Nagasaki
