subject;predicate;object
Manhattan Project;involved;multiple research sites
Manhattan Project;named after;Manhattan Engineering District
Manhattan Project;involved;Los Alamos
atomic bomb;detonated at;Trinity in New Mexico
atomic bomb;led to;subsequent bombings of Hiroshima and Nagasaki
Manhattan Project;maintained;secrecy
Manhattan Project;maintained;secrecy from Vice President Truman
atomic bombs;raised;ethical debates among scientists
Japan;surrendered;after atomic bombings
Japan;marked;beginning of the nuclear age
Japan;marked;new era in warfare
