subject;predicate;object
Manhattan Project;was launched in response to;fears that the Nazis were also developing powerful atomic weapons
Manhattan Project;involved;collaboration with Britain and Canada
first atomic bomb;was tested in;1945
first atomic bomb;was dropped on;Hiroshima and Nagasaki
dropping of first atomic bomb;led to;Japan's surrender and the end of WWII
project;marked;the beginning of the nuclear age
project;had;a lasting impact on the development of atomic weapons worldwide
President Franklin Roosevelt;led;the Manhattan Project
Albert Einstein;was;a key figure in the Manhattan Project
Enrico Fermi;was;a key figure in the Manhattan Project
