entity;surface
Nile River;Nile River, the Nile
ancient Egypt;ancient Egypt, Egyptians
civilization;civilization
desert;desert
Egyptians;Egyptians
empire;empire
agricultural practices;agricultural practices
monumental structures;monumental structures, Great Pyramids
Great Pyramids;Great Pyramids
cycles;cycles
Egyptian beliefs;Egyptian beliefs
life;life
death;death
afterlife;afterlife
religious practices;religious practices
rituals;rituals
central deity;central deity
source of water;source of water
fertility;fertility
trade;trade
transportation;transportation
calendar;calendar
annual flooding;annual flooding
collapse of ancient Egypt;collapse of ancient Egypt
legacy of the Nile;legacy of the Nile
prosperity;prosperity
resources;resources
