subject;predicate;object
art conservation;discusses;evolving field
concerns;highlighting;emphasis
emphasis;on;scientific knowledge
emphasis;on;traditional skills
emphasis;on;historical understanding
education;of;art conservators
undergraduate programs;across;United States
discrepancies;in;curriculum focus
importance;of;practical experience
practical experience;shaping;future conservators
necessity;of;solid foundation
solid foundation;for;graduate-level conservation work
graduate-level conservation work;emphasizing;balanced approach
balanced approach;includes;technical expertise
balanced approach;includes;art historical knowledge
balanced approach;includes;studio art skills
