subject;predicate;object
CSI Effect;refers to;exaggerated portrayal of forensic science on TV shows
CSI Effect;influences;public perception
CSI Effect;is important as;public expectations may impact jury trials
public expectations;may impact;jury trials
jurors;expecting;more forensic evidence than necessary
jurors;having;excessive confidence in forensic and DNA evidence
jurors;increasingly acquitting;defendants due to the lack of specific evidence
CSI Effect;has prompted;changes in legal preparation for prosecutors
prosecutors;now address;limitations of forensic science
CSI Effect;has prompted;changes in jury selection
jury selection;focus on;potential jurors' TV preferences
Defense attorneys;have;new strategies to create doubt in jurors' minds
potential criminals;have become;more educated about forensic evidence
