subject;predicate;object
Third Intermediate Period;began with;Smendes
Third Intermediate Period;divided into;Dynasty 21
Dynasty 21;ruling from;Tanis
Dynasty 21;ruling from;Thebes
Dynasty 22;of;Libyan descent
Dynasty 23;emerging in;eastern Delta
era;witnessed;Nubian rule in Egypt
era;witnessed;shift in power to local rulers
Art;flourished in;temple precincts
Art;showcasing;bronze statuary
Art;showcasing;elaborate burial practices
king's divine lineage;was emphasized in;various artistic forms
king's divine lineage;reflecting;period's artistic and cultural developments
