entity;surface
art conservation;art conservation
scientific knowledge;scientific knowledge
traditional skills;traditional skills
historical understanding;historical understanding
education;education
art conservators;art conservators
undergraduate programs;undergraduate programs
United States;United States
curriculum focus;curriculum focus
practical experience;practical experience
future conservators;future conservators
solid foundation;solid foundation
art history;art history
graduate-level conservation work;graduate-level conservation work
balanced approach;balanced approach
technical expertise;technical expertise
studio art skills;studio art skills
