entity;surface
CSI Effect;CSI Effect
forensic-focused TV shows;forensic-focused TV shows
jurors;jurors
scientific evidence;scientific evidence
criminal trials;criminal trials
studies;studies
TV shows;TV shows
scientific evidence;scientific evidence
cultural changes;cultural changes
forensic science disciplines;forensic science disciplines
DNA analysis;DNA analysis
fingerprint analysis;fingerprint analysis
crime dramas;crime dramas
forensic science;forensic science
educational initiatives;educational initiatives
CSI: The Experience;CSI: The Experience
TV shows;TV shows
forensic science limitations;forensic science limitations
crime dramas;crime dramas
viewers;viewers
