entity;surface
Publius Huldah;Publius Huldah
nullification deniers;nullification deniers
States;States
federal government;federal government
Heritage Foundation;Heritage Foundation
Human Events;Human Events
historical documents;historical documents
Founding Fathers;Founding Fathers
interposition;interposition
nullification;nullification
Founding Principles;Founding Principles
Supreme Court;Supreme Court
Tariff Act of 1828;Tariff Act of 1828
South Carolina Nullification Crisis;South Carolina Nullification Crisis
