entity;surface
Borobudur;Borobudur, Borobudur Temple, the temple, Buddhist stupa, temple complex, Borobudur Temple Compound, Borobudur Temple Compounds
9th century;9th century, 9th Century
Buddhist monument;Buddhist monument, largest Buddhist monument
Java;Java, Java, Indonesia, Java Island, central Java
Indonesia;Indonesia, Indonesia
cement;cement
stone carvings;intricate stone carvings
Buddha statues;Buddha statues, Buddha statues, numerous Buddha statues
bas-reliefs;bas-reliefs, intricate reliefs, over 2000 relief panels
Hindu;Hindu, Hinduism
Buddhist;Buddhist, Buddhism
UNESCO World Heritage site;UNESCO World Heritage site, UNESCO World Heritage Site
pilgrimage destination;pilgrimage destination, pilgrimage
architectural beauty;architectural beauty
spiritual ambiance;spiritual ambiance, spirituality
sunrise;sunrise, morning, early in the morning
travelers;travelers, international tourists
cultural experience;cultural experience
monastery;monastery
author;author
Theravada Buddhism;Theravada Buddhism
monks;monks
Buddha;Buddha
Enlightenment;Enlightenment
meditation session;meditation session
monk;monk
Mahayana Buddhist temple;Mahayana Buddhist temple
UNESCO;UNESCO
Indonesian government;Indonesian government
religion;religion
stupa;open stupa
Jogjakarta;Jogjakarta, Yogjakarta city
9th-century Mahayana temple;9th-century Mahayana temple
largest Buddhist temple in Indonesia;largest Buddhist temple in Indonesia
Image ID;124398484
Copyright;Iryna Rasko
Indonesian police;Indonesian police
Buddhist temple;Buddhist temple
Islamic State supporters;Islamic State supporters
Facebook;Facebook
August 15;August 15
Islamic militants;Islamic militants
Indonesian Military;Indonesian Military
1985;1985
Borobudur Temple Compounds;Borobudur Temple Compounds
Buddhist cosmology;Buddhist cosmology
three tiers;three tiers
two smaller temples;two smaller temples
Nirvana;Nirvana
authenticity;authenticity
restoration efforts;restoration efforts, restoration efforts funded by UNESCO
development;development
tourism pressure;tourism pressure
natural disasters;natural disasters
volcanic eruptions;volcanic eruptions
protection;protection
management;management
Indonesian cultural heritage laws;Indonesian cultural heritage laws
conservation;conservation
sustainable tourism;sustainable tourism
16th century;16th century
Muslim country;Muslim country
Civilization V;Civilization V
World Wonder;World Wonder
Faith bonus;significant Faith bonus
Missionaries;free Missionaries
Holy City;Holy City
778-850 AD;778 and 850 AD
Sir Stamford Raffles;Sir Stamford Raffles
1814;1814
#enjoy;#enjoy
#happymoment;#happymoment
tourism;tourism
local cultures;local cultures
local communities;local communities
identities;identities
economic development;economic development
challenges;challenges
local population;local population
government;government
site;sites
decision-making processes;decision-making processes
cultural heritage;cultural heritage
benefits;benefits
temple;impressive temple, monument
tourist attraction;must-see tourist attraction
Yogjakarta city;Yogjakarta city
stacked platforms;nine stacked platforms
decorations;intricate decorations
relief panels;over 2000 relief panels
earthquakes;earthquakes
time;time
charm;charm
Yogyakarta;Yogyakarta
AD 750;AD 750
AD 842;AD 842
Indonesian World Heritage Sites;two Indonesian World Heritage Sites
Komodo National Park;Komodo National Park, Komodo Dragon
Syailendra Dynasty;Syailendra Dynasty
AD 750;AD 750
AD 842;AD 842
UNESCO;UNESCO
Borobudur temple;Borobudur temple, the temple
UNESCO world heritage site;UNESCO world heritage site
Vesak day;Vesak day
flying lanterns;flying lanterns
traditional dance performances;traditional dance performances
elephants;elephants
Jogjakarta airport;Jogjakarta airport
circular platform;circular platform
hand gestures;mudras
world of formlessness;world of formlessness
symbolism;symbolism
context;context
messages;messages
wisdom;wisdom
method;method
faith;faith
enlightenment;enlightenment
Buddhist culture;Buddhist culture
