subject;predicate;object
Brougham Castle;built in;1214
Robert de Vieuxpont;built;Brougham Castle
Robert Clifford;added;great tower and stone curtain wall
Brougham Castle;played role in;Anglo-Scottish wars
Brougham Castle;played role in;Wars of the Roses
Brougham Castle;inherited by;Lady Anne Clifford
Lady Anne Clifford;called home;Brougham Castle
visitors;explore;site
visitors;view;carved stones
Brougham Castle;located near;hotels
Brougham Castle;located near;guesthouses
Brougham Castle;located near;bed and breakfasts
