entity;surface
haunted dungeons;haunted dungeons
London;London
ghost walks;ghost walks
Wales;Wales
Scotland;Scotland
haunted castles;haunted castles
Glamis Castle;Glamis Castle
Angus;Angus
Crumlin Road Gaol;Crumlin Road Gaol
Belfast;Belfast
Pendle Hill;Pendle Hill
witch hunt tour;witch hunt tour
Whitby;Whitby
Dracula-themed ghost walk;Dracula-themed ghost walk
ghost tours;ghost tours
Liverpool;Liverpool
York;York
Sheffield;Sheffield
Falstaff Experience;Falstaff Experience
Stratford-upon-Avon;Stratford-upon-Avon
eerie locations;eerie locations
Britain;Britain
